timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1648544395804,794,GetById,200,OK,UnitTest 1-2,text,true,,332,676,2,2,https://localhost:5001/api/Employee/GetEmployeeById?id=2,9,0,3
1648544395804,9,GetById-0,307,Temporary Redirect,UnitTest 1-2,,true,,176,338,2,2,http://localhost:5000/api/Employee/GetEmployeeById?id=2,9,0,3
1648544395814,784,GetById-1,200,OK,UnitTest 1-2,text,true,,156,338,2,2,https://localhost:5001/api/Employee/GetEmployeeById?id=2,782,0,752
1648544394283,2339,GetById,200,OK,UnitTest 1-1,text,true,,332,676,2,2,https://localhost:5001/api/Employee/GetEmployeeById?id=2,117,0,92
1648544394283,123,GetById-0,307,Temporary Redirect,UnitTest 1-1,,true,,176,338,2,2,http://localhost:5000/api/Employee/GetEmployeeById?id=2,117,0,92
1648544394411,2211,GetById-1,200,OK,UnitTest 1-1,text,true,,156,338,2,2,https://localhost:5001/api/Employee/GetEmployeeById?id=2,2210,0,2159
1648544396605,28,GetDetails,200,OK,UnitTest 1-2,text,true,,382,682,2,2,https://localhost:5001/api/Employee/GetEmployeeDetails?id=1,6,0,0
1648544396605,6,GetDetails-0,307,Temporary Redirect,UnitTest 1-2,,true,,179,341,2,2,http://localhost:5000/api/Employee/GetEmployeeDetails?id=1,6,0,0
1648544396612,21,GetDetails-1,200,OK,UnitTest 1-2,text,true,,203,341,2,2,https://localhost:5001/api/Employee/GetEmployeeDetails?id=1,21,0,0
1648544396623,18,GetDetails,200,OK,UnitTest 1-1,text,true,,382,682,2,2,https://localhost:5001/api/Employee/GetEmployeeDetails?id=1,3,0,0
1648544396623,3,GetDetails-0,307,Temporary Redirect,UnitTest 1-1,,true,,179,341,2,2,http://localhost:5000/api/Employee/GetEmployeeDetails?id=1,3,0,0
1648544396627,14,GetDetails-1,200,OK,UnitTest 1-1,text,true,,203,341,2,2,https://localhost:5001/api/Employee/GetEmployeeDetails?id=1,14,0,0
1648544396636,15,GetById,200,OK,UnitTest 1-2,text,true,,332,676,2,2,https://localhost:5001/api/Employee/GetEmployeeById?id=2,1,0,0
1648544396636,1,GetById-0,307,Temporary Redirect,UnitTest 1-2,,true,,176,338,2,2,http://localhost:5000/api/Employee/GetEmployeeById?id=2,1,0,0
1648544396638,13,GetById-1,200,OK,UnitTest 1-2,text,true,,156,338,2,2,https://localhost:5001/api/Employee/GetEmployeeById?id=2,13,0,0
1648544396643,9,GetById,200,OK,UnitTest 1-1,text,true,,332,676,2,2,https://localhost:5001/api/Employee/GetEmployeeById?id=2,4,0,0
1648544396643,4,GetById-0,307,Temporary Redirect,UnitTest 1-1,,true,,176,338,2,2,http://localhost:5000/api/Employee/GetEmployeeById?id=2,4,0,0
1648544396647,5,GetById-1,200,OK,UnitTest 1-1,text,true,,156,338,2,2,https://localhost:5001/api/Employee/GetEmployeeById?id=2,5,0,0
1648544396656,65,GetDetails,200,OK,UnitTest 1-2,text,true,,382,682,2,2,https://localhost:5001/api/Employee/GetEmployeeDetails?id=1,15,0,0
1648544396656,15,GetDetails-0,307,Temporary Redirect,UnitTest 1-2,,true,,179,341,2,2,http://localhost:5000/api/Employee/GetEmployeeDetails?id=1,15,0,0
1648544396671,50,GetDetails-1,200,OK,UnitTest 1-2,text,true,,203,341,2,2,https://localhost:5001/api/Employee/GetEmployeeDetails?id=1,50,0,0
1648544396663,71,GetDetails,200,OK,UnitTest 1-1,text,true,,382,682,2,2,https://localhost:5001/api/Employee/GetEmployeeDetails?id=1,16,0,0
1648544396663,16,GetDetails-0,307,Temporary Redirect,UnitTest 1-1,,true,,179,341,2,2,http://localhost:5000/api/Employee/GetEmployeeDetails?id=1,16,0,0
1648544396680,54,GetDetails-1,200,OK,UnitTest 1-1,text,true,,203,341,2,2,https://localhost:5001/api/Employee/GetEmployeeDetails?id=1,54,0,0
1648544396737,17,GetById,200,OK,UnitTest 1-1,text,true,,332,676,2,2,https://localhost:5001/api/Employee/GetEmployeeById?id=2,6,0,0
1648544396737,6,GetById-0,307,Temporary Redirect,UnitTest 1-1,,true,,176,338,2,2,http://localhost:5000/api/Employee/GetEmployeeById?id=2,6,0,0
1648544396744,10,GetById-1,200,OK,UnitTest 1-1,text,true,,156,338,2,2,https://localhost:5001/api/Employee/GetEmployeeById?id=2,9,0,0
1648544396722,32,GetById,200,OK,UnitTest 1-2,text,true,,332,676,2,2,https://localhost:5001/api/Employee/GetEmployeeById?id=2,5,0,0
1648544396722,5,GetById-0,307,Temporary Redirect,UnitTest 1-2,,true,,176,338,2,2,http://localhost:5000/api/Employee/GetEmployeeById?id=2,5,0,0
1648544396727,27,GetById-1,200,OK,UnitTest 1-2,text,true,,156,338,2,2,https://localhost:5001/api/Employee/GetEmployeeById?id=2,27,0,0
1648544396758,28,GetDetails,200,OK,UnitTest 1-2,text,true,,382,682,2,2,https://localhost:5001/api/Employee/GetEmployeeDetails?id=1,2,0,0
1648544396758,2,GetDetails-0,307,Temporary Redirect,UnitTest 1-2,,true,,179,341,2,2,http://localhost:5000/api/Employee/GetEmployeeDetails?id=1,2,0,0
